All,Stagione,Giorno,Mese,Specialita,PosizionediPartenza,PosizioneSecondaManche,PosizioneFinale,Tempo,Distacco,Paese,Pista,Altitudine,Punteggio,Latitudine,Longitudine
171,19_20,14,1,Slalom Speciale,4,2,3,01:54:08,0.43,Austria,Flachau,1300,60,47,13
170,19_20,12,1,Combinata Alpina,21,NA,39,NA,NA,Austria,Altenmarkt-Zauchensee,1350,0,47,13
169,19_20,4,1,Slalom Speciale,7,2,2,01:59:29,0.59,Croazia,Zagabria,860,80,46,16
168,19_20,29,12,Slalom Speciale,3,1,1,01:49:29,-0.61,Austria,Lienz,670,100,46,12
167,19_20,28,12,Slalom Gigante,4,1,1,02:07:31,-0.36,Austria,Lienz,750,100,46,12
166,19_20,17,12,Slalom Gigante,1,19,17,02:14:24,1.47,Francia,Courchevel,2200,14,45,6
165,19_20,14,12,SuperG,13,NA,3,01:13:09,0.14,Svizzera,Sankt Moritz,2750,60,46,10
164,19_20,8,12,SuperG,9,NA,10,01:21:18,1.18,Canada,Lake Louise,2225,26,51,-116
163,19_20,7,12,Discesa Libera,12,NA,2,01:50:05,0.13,Canada,Lake Louise,2300,80,51,-116
162,19_20,6,12,Discesa Libera,6,NA,10,01:33:23,0.94,Canada,Lake Louise,2200,26,51,-116
161,19_20,1,12,Slalom Speciale,3,1,1,01:50:45,-2.19,Stati Uniti,Killington,1100,100,44,-72
160,19_20,30,11,Slalom Gigante,3,5,3,01:38:48,0.27,Stati Uniti,Killington,1400,60,44,-72
159,19_20,23,11,Slalom Speciale,1,2,1,01:57:57,-1.78,Finlandia,Levi,600,100,68,25
158,19_20,26,10,Slalom Gigante,4,1,2,02:17:42,0.06,Austria,Solden,3048,80,47,11
157,18_19,17,3,Slalom Gigante,5,1,1,02:23:17,-0.3,Andorra,Soldeu,2450,100,43,2
156,18_19,16,3,Slalom Speciale,6,2,1,01:48:15,-0.07,Andorra,Soldeu,2350,100,43,2
155,18_19,14,3,SuperG,13,NA,4,01:24:25,0.31,Andorra,Soldeu,2550,50,43,2
154,18_19,9,3,Slalom Speciale,2,1,1,01:39:38,-0.85,Repubblica Ceca,Spindleruv Mlyn,1250,100,51,16
153,18_19,8,3,Slalom Gigante,6,4,3,02:25:29,0.5,Repubblica Ceca,Spindleruv Mlyn,1300,60,51,16
152,18_19,19,2,Slalom Parallelo,NA,NA,1,13:11:00,-0.24,Svezia,Stoccolma,NA,100,59,18
151,18_19,2,2,Slalom Speciale,3,1,1,01:43:00,-0.77,Svezia,Stoccolma,NA,100,59,18
150,18_19,1,2,Slalom Gigante,4,1,1,02:31:31,0.93,Sloveniza,Maribor,1327,80,46,15
149,18_19,20,1,SuperG,17,NA,1,01:22:48,-0.16,Italia,Cortina,2350,100,44,12
148,18_19,15,1,Slalom Gigante,5,1,1,02:05:15,-1.21,Italia,Plan de Corones,1860,100,47,12
147,18_19,8,1,Slalom Speciale,4,1,2,01:53:00,0.15,Austria,Flachau,1150,80,47,13
146,18_19,5,1,Slalom Speciale,6,1,1,02:01:09,-1.25,Croazia,Zagabria,840,100,46,16
145,18_19,1,1,Slalom Parallelo,1,NA,2,13:28:00,0.39,Norvegia,Oslo,400,80,60,11
144,18_19,29,12,Slalom Speciale,5,1,1,01:43:39,-0.29,Austria,Semmering,1200,100,47,16
143,18_19,28,12,Slalom Gigante,6,1,5,02:05:48,0.76,Austria,Semmering,1100,45,47,16
142,18_19,22,12,Slalom Speciale,3,1,1,01:37:12,0.29,Francia,Courchevel,2300,100,45,6
141,18_19,21,12,Slalom Gigante,6,2,1,01:50:21,-0.14,Francia,Courchevel,2250,100,45,6
140,18_19,9,12,Slalom Parallelo,NA,NA,1,03:22:00,-0.11,Svizzera,Sankt Moritz,2500,100,46,10
139,18_19,8,12,SuperG,12,NA,1,01:11:30,-0.28,Svizzera,Sankt Moritz,2840,100,46,10
138,18_19,2,12,SuperG,12,NA,1,01:19:41,-0.77,Canada,Lake Louise,2225,100,51,-116
137,18_19,1,12,Discesa Libera,13,NA,4,01:48:31,0.73,Canada,Lake Louise,2300,50,51,-116
136,18_19,30,11,Discesa Libera,13,NA,9,01:49:36,1.26,Canada,Lake Louise,2200,29,51,-116
135,18_19,25,11,Slalom Speciale,3,1,1,01:43:26,-0.67,Stati Uniti,Killington,1100,100,44,-72
